1;Reis;rice;2022-02-07;Food|Unit 4|Kl. 6
2;Kokosnuss;coconut;2022-02-07;Food|Unit 4|Kl. 6
3;Kidneybohne;kidney bean;2022-02-07;Food|Unit 4|Kl. 6
4;Gemüse;vegetable;2022-02-07;Food|Unit 4|Kl. 6
5;Pasta|Nudeln;pasta;2022-02-07;Food|Unit 4|Kl. 6
6;Salat;salad;2022-02-07;Food|Unit 4|Kl. 6
7;Pirogge;pierogi;2022-02-07;Food|Unit 4|Kl. 6
8;Kloß;dumpling;2022-02-07;Food|Unit 4|Kl. 6
9;Kohl|Kraut;cabbage;2022-02-07;Food|Unit 4|Kl. 6
10;Wurst|Bratwurst;sausage;2022-02-07;Food|Unit 4|Kl. 6
11;Zwiebel;onion;2022-02-07;Food|Unit 4|Kl. 6
12;Pastete;pasty;2022-02-07;Food|Unit 4|Kl. 6
13;Kuchen|Pastete;pie;2022-02-07;Food|Unit 4|Kl. 6
14;Kartoffel;potato;2022-02-07;Food|Unit 4|Kl. 6
15;Karotte;carrot;2022-02-07;Food|Unit 4|Kl. 6
16;Hühnchen;chicken;2022-02-07;Food|Unit 4|Kl. 6
17;Curry;curry;2022-02-07;Food|Unit 4|Kl. 6
18;Gewürz;spice;2022-02-07;Food|Unit 4|Kl. 6
19;Joghurt;yogurt;2022-02-07;Food|Unit 4|Kl. 6
20;Brot;bread;2022-02-07;Food|Unit 4|Kl. 6
21;Schweinefleisch;pork;2022-02-07;Food|Unit 4|Kl. 6
22;Kartoffelsalat;potato salad;2022-02-07;Food|Unit 4|Kl. 6
23;Getränk;drink;2022-02-07;Way in|Unit 4|Kl. 6
24;jamaikanisch;Jamaican;2022-02-07;Way in|Unit 4|Kl. 6
25;lecker;yummy;2022-02-07;Way in|Unit 4|Kl. 6
26;Sorte|Art;sort;2022-02-07;Way in|Unit 4|Kl. 6
27;köstlich;delicious;2022-02-07;Way in|Unit 4|Kl. 6
28;Es wird aus ... gemacht.;It´s made with ...;2022-02-07;Way in|Unit 4|Kl. 6
29;Flughafen;airport;2022-02-07;Listning skills|Unit 3|Kl. 6
30;Durchsage|Ankündigung;announcement;2022-02-07;Listning skills|Unit 3|Kl. 6
31;Passagier|Passagierin;passenger;2022-02-07;Listning skills|Unit 3|Kl. 6
32;Flugzeug;plane;2022-02-07;Listning skills|Unit 3|Kl. 6
33;fliegen;fly;2022-02-07;Listning skills|Unit 3|Kl. 6
34;Information;information desk;2022-02-07;Listning skills|Unit 3|Kl. 6
35;Sonnbrille;sunglasses;2022-02-07;Film corner|Unit 3|Kl. 6
36;warten auf;wait for;2022-02-07;Film corner|Unit 3|Kl. 6
37;eine Besichtigungstour machen;go sightseeing;2022-02-07;Film corner|Unit 3|Kl. 6
38;Aufkleber;sticker;2022-02-07;Film corner|Unit 3|Kl. 6
39;Standinhaber|Standinhaberin;stallholder;2022-02-07;Film corner|Unit 3|Kl. 6
40;pro stück;each;2022-02-07;Film corner|Unit 3|Kl. 6
41;Wie wäre es mit ...?;How about ...?;2022-02-07;Film corner|Unit 3|Kl. 6
42;ein Paar;a pair of;2022-02-07;Film corner|Unit 3|Kl. 6
43;Preis;price;2022-02-07;Film corner|Unit 3|Kl. 6
44;echt|richtig|wirklich;real;2022-02-07;Film corner|Unit 3|Kl. 6
45;Schnäppchen;bargain;2022-02-07;Film corner|Unit 3|Kl. 6
46;klingen;sound;2022-02-07;Film corner|Unit 3|Kl. 6
47;Theaterstück;play;2022-01-08;Reading corner|Unit 3|Kl. 6
48;besitzen;own;2022-01-08;Reading corner|Unit 3|Kl. 6
49;Eigentümer;landlord;2022-01-08;Reading corner|Unit 3|Kl. 6
50;bitten um;ask for;2022-01-08;Reading corner|Unit 3|Kl. 6
51;Land;land;2022-01-08;Reading corner|Unit 3|Kl. 6
52;bezahlen;pay;2022-01-08;Reading corner|Unit 3|Kl. 6
53;umziehen;move (house);2022-01-08;Reading corner|Unit 3|Kl. 6
54;Bauarbeiter;builder;2022-01-08;Reading corner|Unit 3|Kl. 6
55;tragen|befördern;carry;2022-01-08;Reading corner|Unit 3|Kl. 6
56;wichtig|einflussreich;important;2022-01-08;Reading corner|Unit 3|Kl. 6
57;von;by;2022-01-08;Reading corner|Unit 3|Kl. 6
58;als;as;2022-01-08;Reading corner|Unit 3|Kl. 6
